Airgas SKU,M+A Matting SKU,This does not seem to be working.
46500035,465035000,
475-3X5,475035000,
49400023,494023900,
49400035,494035900,
49600023,496023900,
49600035,496035900,
505-3X105,50513105100,
5453X10,5450310100,
5453X5,545035100,
5454X10,5450410100,
5454X6,545046100,
783-36X75-RL,7831375100,
1001123540,1001123540,
10011310540,10011310540,
1001134540,1001134540,
1001135540,1001135540,
1001136540,1001136540,
1001138540,1001138540,
10011410540,10011410540,
1001146540,1001146540,
1001148540,1001148540,
10011510540,10011510540,
10011512540,10011512540,
1001158540,1001158540,
10011610540,10011610540,
10011612540,10011612540,
1001168540,1001168540,
1001323540,1001323540,
10013310540,10013310540,
1001334540,1001334540,
1001335540,1001335540,
1001336540,1001336540,
1001338540,1001338540,
10013410540,10013410540,
1001346540,1001346540,
1001348540,1001348540,
10013510540,10013510540,
10013512540,10013512540,
1001358540,1001358540,
10013610540,10013610540,
10013612540,10013612540,
1001368540,1001368540,
1002523540,1002523540,
10025310540,10025310540,
1002534540,1002534540,
1002535540,1002535540,
1002536540,1002536540,
1002538540,1002538540,
10025410540,10025410540,
1002546540,1002546540,
1002548540,1002548540,
10025510540,10025510540,
10025512540,10025512540,
1002558540,1002558540,
10025610540,10025610540,
10025612540,10025612540,
1002568540,1002568540,
12014823050,12014823050,
12014835050,12014835050,
12016523050,12016523050,
120165310050,120165310050,
12016535050,12016535050,
12016546050,12016546050,
12016623050,12016623050,
120166310050,120166310050,
12016635050,12016635050,
12016646050,12016646050,
12016723050,12016723050,
120167310050,120167310050,
12016735050,12016735050,
12016746050,12016746050,
12017123050,12017123050,
120171310050,120171310050,
12017135050,12017135050,
12017146050,12017146050,
12017623050,12017623050,
120176310050,120176310050,
12017635050,12017635050,
12017646050,12017646050,
1804823590,1804823590,
18048310590,18048310590,
1804835590,1804835590,
1804846590,1804846590,
1805123590,1805123590,
18051310590,18051310590,
1805135590,1805135590,
1805146590,1805146590,
1806423590,1806423590,
18064310590,18064310590,
1806435590,1806435590,
1806446590,1806446590,
1806523590,1806523590,
18065310590,18065310590,
1806535590,1806535590,
1806546590,1806546590,
1806623590,1806623590,
18066310590,18066310590,
1806635590,1806635590,
1806646590,1806646590,
1806723590,1806723590,
18067310590,18067310590,
1806735590,1806735590,
1806746590,1806746590,
1807623590,1807623590,
18076310590,18076310590,
1807635590,1807635590,
1807646590,1807646590,
200541827070,200541827070,
2005423070,2005423070,
